Map	Roundtype	Blue Team	Red Team	time	len	KB	KR	UB	UR	FB	Death Sequence
Dorado	Attack	 FLA	 BOS	5:24	14	0	3	1	1	R	WinstonWidowmakerZenyatta
Dorado	Attack	 FLA	 BOS	6:16	7	0	2	0	0	R	MercyWinston
Dorado	Attack	 FLA	 BOS	6:51	40	2	7	3	2	R	MccreeWinstonMercyZenyattaMccreeWinstonTracerWinstonD.Va
Dorado	Attack	 FLA	 BOS	7:57	25	2	7	2	3	R	ZenyattaJunkratD.VaZenyattaMercyTracerWinstonZenyattaWinston
Dorado	Defense	 FLA	 BOS	0:22	39	2	7	0	1	B	HanzoTracerTracerAnaMercyAnaD.VaWinstonSoldier: 76
Dorado	Defense	 FLA	 BOS	1:22	35	1	8	1	2	B	HanzoAnaTracerSoldier: 76MercyWinstonD.VaAnaTracer
Dorado	Defense	 FLA	 BOS	2:28	27	2	7	0	1	B	GenjiZenyattaD.VaSoldier: 76ZenyattaZenyattaMercyWidowmakerWinston
Dorado	Defense	 FLA	 BOS	3:19	55	1	10	3	5	B	GenjiSoldier: 76D.VaWidowmakerZenyattaSoldier: 76WinstonMercyD.VaTracerMercy
Dorado	Defense	 FLA	 BOS	4:38	29	3	8	3	2	B	ZenyattaWinstonSoldier: 76MercyZenyattaMercyGenjiTracerD.VaWinstonSoldier: 76
Temple of Anubis	Attack	 FLA	 BOS	0:14	0	0	1	0	0	R	Tracer
Temple of Anubis	Attack	 FLA	 BOS	0:42	21	2	3	0	0	B	MercyTracerWidowmakerPharahWinston
Temple of Anubis	Attack	 FLA	 BOS	1:28	15	6	1	0	0	B	MercyZenyattaD.VaWidowmakerGenjiWinstonTracer
Temple of Anubis	Attack	 FLA	 BOS	2:08	39	0	8	4	3	R	TracerPharahReaperPharahWinstonMercyD.VaTracer
Temple of Anubis	Attack	 FLA	 BOS	3:39	15	0	5	0	1	R	WinstonMercySombraReaperD.Va
Temple of Anubis	Attack	 FLA	 BOS	4:32	67	11	8	5	3	R	SombraWinstonZenyattaD.VaWinstonReaperTracerWinstonMercyZenyattaD.VaReaperMercySombraTracerD.VaLucioWinstonTracer
Temple of Anubis	Attack	 FLA	 BOS	6:07	32	8	2	2	2	B	ZenyattaD.VaReaperD.VaMercyWinstonTracerTracerZenyattaD.Va
Temple of Anubis	Attack	 FLA	 BOS	6:42	26	5	1	2	0	B	WinstonMeiTracerD.VaZenyattaLucio
Temple of Anubis	Defense	 FLA	 BOS	0:16	0	0	1	0	0	R	Tracer
Temple of Anubis	Defense	 FLA	 BOS	0:46	21	1	6	0	2	R	TracerMercyWinstonD.VaJunkratMercyZenyatta
Temple of Anubis	Defense	 FLA	 BOS	1:25	4	1	1	2	0	R	ZenyattaWinston
Temple of Anubis	Defense	 FLA	 BOS	1:45	15	2	2	0	1	R	WinstonZenyattaWinstonTracer
Temple of Anubis	Defense	 FLA	 BOS	2:08	22	2	2	4	1	R	JunkratTracerWinstonWinston
Temple of Anubis	Defense	 FLA	 BOS	3:16	0	1	0	0	0	B	Tracer
Temple of Anubis	Defense	 FLA	 BOS	3:49	12	2	1	3	0	R	ZenyattaMercyWinston
Temple of Anubis	Defense	 FLA	 BOS	4:18	25	1	7	0	4	R	JunkratZenyattaWinstonTracerJunkratMercyD.VaSombra
Temple of Anubis	Attack	 FLA	 BOS	0:16	13	2	1	0	0	B	GenjiPharahTracer
Temple of Anubis	Attack	 FLA	 BOS	0:59	16	3	6	0	0	R	WidowmakerTracerMercyPharahZenyattaWinstonMercyTracerD.Va
Temple of Anubis	Defense	 FLA	 BOS	0:21	0	0	1	0	0	R	Tracer
Temple of Anubis	Defense	 FLA	 BOS	0:37	15	3	1	0	0	B	MercyWidowmakerJunkratZenyatta
Temple of Anubis	Defense	 FLA	 BOS	1:10	29	1	7	4	4	R	ZenyattaTracerZenyattaD.VaJunkratZenyattaMercyTracer
Oasis	University	 FLA	 BOS	0:16	14	0	6	0	0	R	MccreeZenyattaMercyRoadhogOrisaJunkrat
Oasis	University	 FLA	 BOS	1:00	21	6	1	1	2	R	LucioMoiraRoadhogLucioReinhardtZaryaMccree
Oasis	University	 FLA	 BOS	1:48	11	3	5	1	1	B	LucioMoiraMercyJunkratReinhardtReaperOrisaRoadhog
Oasis	University	 FLA	 BOS	2:26	32	1	4	3	5	R	RoadhogLucioZaryaJunkratRoadhog
Oasis	University	 FLA	 BOS	3:08	28	2	6	3	3	R	LucioMccreeTracerMercyOrisaZaryaRoadhogReaper
Oasis	City Center	 FLA	 BOS	0:14	17	0	5	0	0	R	ZenyattaRoadhogSoldier: 76MercyWinston
Oasis	City Center	 FLA	 BOS	1:09	26	2	7	1	4	B	ReinhardtSoldier: 76ReinhardtReinhardtMccreeZenyattaReaperZaryaReinhardt
Oasis	City Center	 FLA	 BOS	2:09	35	2	8	4	5	R	Soldier: 76ReinhardtZaryaZaryaZenyattaMercyReinhardtReaperZaryaSoldier: 76
Eichenwalde	Attack	 FLA	 BOS	0:33	0	1	1	0	0	B	WinstonZenyatta
Eichenwalde	Attack	 FLA	 BOS	0:58	47	10	4	2	1	B	WinstonZenyattaMercyWinstonD.VaLucioZenyattaD.VaTracerPharahWinstonLucioMercyD.Va
Eichenwalde	Attack	 FLA	 BOS	2:01	65	9	4	4	4	B	WinstonTracerZenyattaMercyWinstonPharahLucioPharahZenyattaMercyD.VaWinstonTracer
Eichenwalde	Attack	 FLA	 BOS	3:32	2	0	3	0	0	R	ZenyattaTracerWinston
Eichenwalde	Attack	 FLA	 BOS	4:15	8	0	4	1	0	R	ZenyattaPharahWinstonMercy
Eichenwalde	Attack	 FLA	 BOS	4:53	26	5	1	3	2	B	ZenyattaMercyMccreePharahD.VaWinston
Eichenwalde	Attack	 FLA	 BOS	5:47	16	3	5	1	0	R	D.VaWinstonWinstonD.VaMccreeZenyattaZenyattaWinston
Eichenwalde	Attack	 FLA	 BOS	6:18	9	2	1	0	1	B	WinstonMercyTracer
Eichenwalde	Attack	 FLA	 BOS	6:33	19	3	3	2	2	B	ZenyattaD.VaMccreeLucioZenyattaPharah
Eichenwalde	Defense	 FLA	 BOS	0:13	10	4	0	0	0	B	PharahMercyWinstonLucio
Eichenwalde	Defense	 FLA	 BOS	1:01	8	0	6	0	0	R	RoadhogJunkratZenyattaMercyOrisaMccree
Eichenwalde	Defense	 FLA	 BOS	1:38	12	3	3	0	1	B	MercyZenyattaD.VaTracerGenjiMccree
Eichenwalde	Defense	 FLA	 BOS	2:15	20	1	8	1	2	R	TracerMccreeZenyattaMercyWinstonZenyattaZenyattaD.VaMccree
Eichenwalde	Defense	 FLA	 BOS	3:02	3	2	3	0	1	B	MercyZenyattaMercyMccreeD.Va
Eichenwalde	Defense	 FLA	 BOS	3:08	25	2	3	3	2	R	TracerWinstonZenyattaWinstonD.Va
Eichenwalde	Defense	 FLA	 BOS	3:42	16	0	5	1	2	R	MccreeZenyattaWinstonTracerMercy
Junkertown	Attack	 SFS	 SHD	0:30	22	5	2	0	0	B	JunkratWidowmakerOrisaHanzoRoadhogRoadhogMercy
Junkertown	Attack	 SFS	 SHD	1:18	3	2	0	0	0	B	RoadhogOrisa
Junkertown	Attack	 SFS	 SHD	1:50	44	8	1	4	2	B	RoadhogOrisaZenyattaMercyOrisaWidowmakerRoadhogZenyattaHanzo
Junkertown	Attack	 SFS	 SHD	2:42	19	1	4	1	1	R	WidowmakerRoadhogBastionWinstonOrisa
Junkertown	Attack	 SFS	 SHD	3:26	14	3	0	0	0	B	D.VaWidowmakerZenyatta
Junkertown	Attack	 SFS	 SHD	3:58	11	2	1	2	1	B	WidowmakerWinstonTracer
Junkertown	Attack	 SFS	 SHD	4:31	33	6	6	3	3	R	ZenyattaWidowmakerZenyattaMercyMercyZenyattaWinstonD.VaD.VaOrisaWidowmakerTracer
Junkertown	Attack	 SFS	 SHD	5:26	0	0	1	0	0	R	Widowmaker
Junkertown	Attack	 SFS	 SHD	5:35	15	1	2	0	0	R	WidowmakerTracerWinston
Junkertown	Attack	 SFS	 SHD	6:14	43	4	6	4	3	B	TracerZenyattaWinstonWinstonWinstonGenjiD.VaMccreeZenyattaMercy
Junkertown	Attack	 SFS	 SHD	7:27	12	0	2	1	1	R	TracerZenyatta
Junkertown	Attack	 SFS	 SHD	7:59	26	1	6	1	3	R	GenjiWinstonMercyWinstonZenyattaD.VaTracer
Junkertown	Defense	 SFS	 SHD	0:11	0	1	0	0	0	B	Widowmaker
Junkertown	Defense	 SFS	 SHD	0:40	8	5	1	0	0	B	OrisaWidowmakerMercyRoadhogMccreeBastion
Junkertown	Defense	 SFS	 SHD	1:19	9	1	1	1	0	B	BastionZenyatta
Junkertown	Defense	 SFS	 SHD	1:57	5	1	0	2	0	B	D.Va
Junkertown	Defense	 SFS	 SHD	2:13	40	6	1	3	3	R	ZenyattaWidowmakerZenyattaMccreeD.VaOrisaZenyatta
Junkertown	Defense	 SFS	 SHD	3:34	19	1	6	3	2	R	WidowmakerMercyZenyattaWinstonJunkratOrisaRoadhog
Junkertown	Defense	 SFS	 SHD	4:24	27	4	2	0	0	B	WinstonMercyZenyattaJunkratWidowmakerTracer
Junkertown	Defense	 SFS	 SHD	5:18	37	5	3	2	4	R	JunkratWidowmakerJunkratZenyattaD.VaWidowmakerZenyattaMercy
Junkertown	Defense	 SFS	 SHD	6:21	27	1	5	1	1	B	MccreeMercyOrisaTracerD.VaJunkrat
Junkertown	Defense	 SFS	 SHD	7:10	27	7	2	5	4	B	WinstonTracerWinstonTracerZenyattaOrisaMccreeMercyD.Va
Horizon Lunar Colony	Attack	 SFS	 SHD	0:11	0	0	1	0	0	R	Tracer
Horizon Lunar Colony	Attack	 SFS	 SHD	0:36	0	0	1	0	0	R	D.Va
Horizon Lunar Colony	Attack	 SFS	 SHD	1:08	25	1	4	0	1	R	D.VaWidowmakerMercyWinstonZenyatta
Horizon Lunar Colony	Attack	 SFS	 SHD	2:00	28	3	7	4	3	R	GenjiMercyWidowmakerJunkratAnaD.VaTracerGenjiWinstonZenyatta
Horizon Lunar Colony	Attack	 SFS	 SHD	2:59	10	0	2	0	1	R	MercyZenyatta
Horizon Lunar Colony	Attack	 SFS	 SHD	3:46	15	2	3	1	3	R	TracerOrisaGenjiLucioAna
Horizon Lunar Colony	Defense	 SFS	 SHD	0:13	0	1	0	0	0	B	Sombra
Horizon Lunar Colony	Defense	 SFS	 SHD	1:06	33	4	7	1	1	R	ZenyattaWinstonJunkratOrisaLucioMoiraMercyRoadhogSombraWidowmakerMoira
Ilios	Lighthouse	 SFS	 SHD	0:14	16	4	0	0	0	B	MccreeMercyD.VaWinston
Ilios	Lighthouse	 SFS	 SHD	1:00	0	1	0	0	0	B	Tracer
Ilios	Lighthouse	 SFS	 SHD	1:20	61	4	10	5	5	R	TracerWinstonD.VaMercyPharahMercyZenyattaWinstonWinstonD.VaPharahLucioD.VaWinston
Ilios	Lighthouse	 SFS	 SHD	2:43	10	0	4	0	1	R	MercyLucioWinstonPharah
Ilios	Lighthouse	 SFS	 SHD	3:15	23	6	1	1	2	B	ZenyattaD.VaTracerMccreeMercyTracerWinston
Ilios	Lighthouse	 SFS	 SHD	3:55	24	7	1	4	2	B	MercyMccreeTracerWinstonZenyattaD.VaTracerWinston
Ilios	Ruins	 SFS	 SHD	0:33	9	3	0	0	0	B	WinstonD.VaWidowmaker
Ilios	Ruins	 SFS	 SHD	1:12	43	8	3	5	4	B	WinstonWidowmakerZenyattaD.VaZenyattaWidowmakerZenyattaMercyWidowmakerWinstonTracer
Ilios	Ruins	 SFS	 SHD	2:20	35	8	2	1	1	B	WinstonTracerWinstonZenyattaWinstonWidowmakerMercyWidowmakerD.VaTracer
Numbani	Attack	 SFS	 SHD	0:34	12	2	3	0	0	R	WinstonSoldier: 76Soldier: 76ZenyattaWinston
Numbani	Attack	 SFS	 SHD	1:30	36	1	6	2	3	B	WinstonWinstonZenyattaSoldier: 76PharahD.VaWinston
Numbani	Attack	 SFS	 SHD	2:43	19	5	0	0	3	B	TracerSoldier: 76MercyWinstonD.Va
Numbani	Attack	 SFS	 SHD	3:23	0	0	1	0	0	R	Tracer
Numbani	Attack	 SFS	 SHD	3:39	15	2	3	2	2	B	WinstonSoldier: 76TracerD.VaWinston
Numbani	Attack	 SFS	 SHD	4:12	28	5	1	2	2	B	TracerZenyattaD.VaSoldier: 76WinstonAna
Numbani	Attack	 SFS	 SHD	5:05	27	6	0	2	3	B	WinstonD.VaTracerSoldier: 76MercyZenyatta
Numbani	Attack	 SFS	 SHD	5:58	55	7	4	4	3	R	Soldier: 76TracerWinstonZenyattaWinstonSoldier: 76TracerD.VaMercyZenyattaWinston
Numbani	Defense	 SFS	 SHD	0:59	11	0	3	1	1	R	WinstonTracerSoldier: 76
Numbani	Defense	 SFS	 SHD	1:41	7	2	2	2	2	R	Soldier: 76D.VaAnaPharah
Numbani	Defense	 SFS	 SHD	2:05	7	2	1	0	0	B	ZenyattaPharahMercy
Numbani	Defense	 SFS	 SHD	2:29	3	1	0	0	0	B	Winston
Numbani	Defense	 SFS	 SHD	2:56	7	2	2	1	1	B	D.VaD.VaTracerTracer
Numbani	Defense	 SFS	 SHD	3:23	31	7	1	3	3	B	TracerSoldier: 76Soldier: 76D.VaZenyattaSoldier: 76WinstonTracer
Numbani	Defense	 SFS	 SHD	4:29	8	0	6	1	2	R	WinstonSoldier: 76AnaD.VaMercyTracer
Numbani	Defense	 SFS	 SHD	5:06	18	6	0	1	0	B	MercyZenyattaSoldier: 76TracerWinstonD.Va
Numbani	Defense	 SFS	 SHD	5:56	48	5	2	3	4	B	TracerWinstonTracerD.VaTracerWinstonD.Va
Numbani	Defense	 SFS	 SHD	7:18	15	5	2	1	1	B	ZenyattaSoldier: 76MercyZenyattaD.VaWinstonTracer
Numbani	Defense	 SFS	 SHD	7:54	42	7	2	4	3	B	TracerWinstonSoldier: 76D.VaWinstonMercyTracerD.VaZenyatta
Junkertown	Attack	 LDN	 PHI	0:30	2	2	0	0	0	B	ReinhardtJunkrat
Junkertown	Attack	 LDN	 PHI	1:03	12	5	0	0	0	B	ReinhardtWidowmakerMercyZenyattaD.Va
Junkertown	Attack	 LDN	 PHI	1:34	4	3	0	0	0	B	WidowmakerWinstonMercy
Junkertown	Attack	 LDN	 PHI	2:09	7	2	0	2	1	B	WidowmakerGenji
Junkertown	Attack	 LDN	 PHI	2:25	23	5	1	1	1	B	ZenyattaD.VaWidowmakerMercyWidowmakerGenji
Junkertown	Attack	 LDN	 PHI	3:24	13	2	0	0	1	B	GenjiWinston
Junkertown	Attack	 LDN	 PHI	4:03	30	1	8	3	3	R	MccreeReaperGenjiD.VaMercyMccreeReinhardtAnaReaper
Junkertown	Attack	 LDN	 PHI	5:02	27	4	4	1	1	B	MercyWidowmakerReinhardtZenyattaReinhardtGenjiMccreeZenyatta
Junkertown	Attack	 LDN	 PHI	6:09	18	0	4	1	0	R	MccreeZenyattaMccreeD.Va
Junkertown	Attack	 LDN	 PHI	7:00	1	1	0	1	0	B	Reinhardt
Junkertown	Attack	 LDN	 PHI	7:06	56	9	3	3	3	R	GenjiD.VaMercyReinhardtMercyGenjiGenjiZenyattaMccreeReinhardtD.VaMercy
Junkertown	Defense	 LDN	 PHI	0:07	0	0	1	0	0	R	Lucio
Junkertown	Defense	 LDN	 PHI	0:33	7	2	0	0	0	B	ReinhardtZenyatta
Junkertown	Defense	 LDN	 PHI	1:15	19	3	2	2	1	R	LucioZenyattaJunkratReinhardtZarya
Junkertown	Defense	 LDN	 PHI	1:55	17	0	5	0	0	R	LucioReinhardtD.VaWidowmakerRoadhog
Junkertown	Defense	 LDN	 PHI	2:44	19	1	6	0	0	R	MercyJunkratZenyattaWinstonMoiraTracerD.Va
Junkertown	Defense	 LDN	 PHI	3:22	9	0	1	0	2	R	Winston
Junkertown	Defense	 LDN	 PHI	3:42	73	6	12	3	2	R	TracerZenyattaZenyattaWidowmakerMercyReinhardtWinstonWidowmakerD.VaTracerZenyattaMercyTracerTracerWinstonD.VaZenyattaGenji
Junkertown	Defense	 LDN	 PHI	5:18	53	7	5	4	4	R	WinstonSoldier: 76D.VaSoldier: 76TracerMercySoldier: 76MercyZenyattaZenyattaTracerReinhardt
Junkertown	Defense	 LDN	 PHI	6:38	10	4	1	2	0	B	ZenyattaZenyattaTracerMccreeMercy
Junkertown	Defense	 LDN	 PHI	7:13	20	6	1	0	0	B	ZenyattaMercyWinstonWinstonTracerD.VaGenji
Junkertown	Defense	 LDN	 PHI	7:53	27	2	6	0	1	R	ZenyattaZenyattaMercyWinstonZenyattaGenjiD.VaTracer
Junkertown	Defense	 LDN	 PHI	8:40	9	3	1	4	1	B	MercyGenjiWinstonMercy
Horizon Lunar Colony	Attack	 LDN	 PHI	0:19	41	0	6	0	1	R	RoadhogMoiraReinhardtD.VaLucioZarya
Horizon Lunar Colony	Attack	 LDN	 PHI	1:33	32	0	5	0	1	R	LucioReinhardtTracerZaryaD.Va
Horizon Lunar Colony	Attack	 LDN	 PHI	2:45	9	0	2	1	1	R	ReinhardtLucio
Horizon Lunar Colony	Attack	 LDN	 PHI	3:43	32	8	2	2	3	B	OrisaJunkratZenyattaReinhardtJunkratD.VaWidowmakerZenyattaMercyOrisa
Horizon Lunar Colony	Attack	 LDN	 PHI	4:41	4	1	0	0	0	B	Genji
Horizon Lunar Colony	Attack	 LDN	 PHI	4:59	77	13	6	4	4	B	MercyZenyattaMercyWinstonZenyattaGenjiD.VaGenjiTracerWinstonMercyMoiraGenjiTracerZenyattaTracerD.VaWinstonD.Va
Horizon Lunar Colony	Attack	 LDN	 PHI	7:46	2	0	3	0	0	R	WinstonMercySoldier: 76
Horizon Lunar Colony	Attack	 LDN	 PHI	8:19	0	1	0	0	0	B	Genji
Horizon Lunar Colony	Attack	 LDN	 PHI	8:33	8	4	0	1	0	B	TracerWinstonZenyattaD.Va
Horizon Lunar Colony	Defense	 LDN	 PHI	0:16	0	1	0	0	0	B	Tracer
Horizon Lunar Colony	Defense	 LDN	 PHI	0:39	0	1	0	0	0	B	Tracer
Horizon Lunar Colony	Defense	 LDN	 PHI	0:58	0	1	0	0	0	B	Winston
Horizon Lunar Colony	Defense	 LDN	 PHI	1:32	0	1	0	0	0	B	D.Va
Horizon Lunar Colony	Defense	 LDN	 PHI	1:47	6	4	0	0	0	B	GenjiMercyLucioWinston
Horizon Lunar Colony	Defense	 LDN	 PHI	2:14	0	1	0	0	0	B	Tracer
Horizon Lunar Colony	Defense	 LDN	 PHI	2:32	20	4	0	2	1	B	MercyLucioD.VaGenji
Horizon Lunar Colony	Defense	 LDN	 PHI	3:17	19	5	1	3	1	B	TracerWinstonOrisaD.VaMercyGenji
Horizon Lunar Colony	Defense	 LDN	 PHI	4:05	14	4	0	3	1	B	GenjiLucioMercyWinston
Ilios	Well	 LDN	 PHI	0:37	63	12	6	3	2	R	WinstonLucioMercyMccreePharahZenyattaMercyD.VaWinstonLucioWinstonD.VaMercyLucioPharahD.VaTracerWinston
Ilios	Well	 LDN	 PHI	2:08	17	2	1	1	0	B	TracerWinstonTracer
Ilios	Well	 LDN	 PHI	2:41	0	1	0	0	0	B	Tracer
Ilios	Well	 LDN	 PHI	3:08	84	12	4	6	5	R	ZenyattaMercyWinstonD.VaTracerWinstonD.VaD.VaTracerWinstonLucioMercyTracerD.VaPharahWinston
Ilios	Ruins	 LDN	 PHI	0:23	11	3	0	0	0	B	WidowmakerWinstonTracer
Ilios	Ruins	 LDN	 PHI	1:05	0	1	0	0	0	B	Tracer
Ilios	Ruins	 LDN	 PHI	1:22	14	3	0	0	0	B	MercyTracerWidowmaker
Ilios	Ruins	 LDN	 PHI	1:55	38	4	2	2	3	B	MercyTracerZenyattaWidowmakerTracerWinston
Numbani	Attack	 LDN	 PHI	0:31	49	6	4	1	2	R	TracerMercyDoomfistZenyattaAnaWinstonSoldier: 76MercyMercyWinston
Numbani	Attack	 LDN	 PHI	1:27	20	5	1	2	0	B	MercyMoiraZenyattaWinstonGenjiD.Va
Numbani	Attack	 LDN	 PHI	2:38	34	4	3	5	3	R	WinstonD.VaWinstonSoldier: 76Soldier: 76ZenyattaD.Va
Numbani	Attack	 LDN	 PHI	3:30	10	4	0	0	0	B	TracerWinstonZenyattaMercy
Numbani	Attack	 LDN	 PHI	4:04	31	7	1	3	0	B	WinstonWinstonD.VaTracerGenjiZenyattaMercyWinston
Numbani	Defense	 LDN	 PHI	0:24	16	4	3	0	0	R	WinstonMercyWinstonAnaMercyD.VaTracer
Numbani	Defense	 LDN	 PHI	1:15	1	2	0	0	0	B	TracerZenyatta
Numbani	Defense	 LDN	 PHI	1:24	11	1	0	1	0	B	D.Va
Numbani	Defense	 LDN	 PHI	2:02	39	6	2	2	2	B	ZenyattaWinstonZenyattaZenyattaWinstonMercyTracerGenji
Numbani	Defense	 LDN	 PHI	3:11	22	3	0	3	4	B	MercyZenyattaWinston
Numbani	Defense	 LDN	 PHI	4:05	17	6	0	3	1	B	GenjiWinstonD.VaTracerD.VaMercy
Numbani	Defense	 LDN	 PHI	5:31	5	4	0	0	1	B	GenjiWinstonD.VaTracer
Junkertown	Attack	 NYE	 HOU	7:42	58	8	6	4	5	R	WinstonMccreeMercyWinstonD.VaD.VaJunkratJunkratWinstonMccreeMercyWinstonMercyMccree
Junkertown	Attack	 NYE	 HOU	6:48	6	0	3	0	1	R	JunkratMercyD.Va
Junkertown	Attack	 NYE	 HOU	5:50	26	2	6	1	2	R	JunkratTracerJunkratD.VaMccreeWinstonMercyZenyatta
Junkertown	Attack	 NYE	 HOU	4:25	36	8	1	5	2	B	D.VaWinstonGenjiD.VaWinstonMercyJunkratZenyattaTracer
Junkertown	Attack	 NYE	 HOU	2:55	37	5	6	2	2	B	ZenyattaJunkratGenjiTracerZenyattaZenyattaMercyJunkratTracerD.VaWinston
Junkertown	Attack	 NYE	 HOU	2:22	12	6	0	3	0	B	MercyZenyattaOrisaJunkratWidowmakerD.Va
Junkertown	Attack	 NYE	 HOU	0:14	0	0	1	0	0	R	Mercy
Junkertown	Attack	 NYE	 HOU	0:29	0	0	2	0	0	R	HanzoWidowmaker
Junkertown	Attack	 NYE	 HOU	1:16	26	6	3	0	3	B	WidowmakerMercyMercyOrisaTracerJunkratD.VaRoadhogGenji
Junkertown	Defense	 NYE	 HOU	5:01	29	2	6	1	2	R	ZenyattaJunkratD.VaWinstonMercyD.VaTracerJunkrat
Junkertown	Defense	 NYE	 HOU	4:53	0	0	1	0	0	R	Junkrat
Junkertown	Defense	 NYE	 HOU	4:14	17	3	6	0	2	R	JunkratZenyattaWidowmakerMercyOrisaWidowmakerZenyattaWinstonD.Va
Junkertown	Defense	 NYE	 HOU	3:50	0	0	1	1	0	R	Widowmaker
Junkertown	Defense	 NYE	 HOU	2:32	46	3	7	2	2	B	BastionHanzoRoadhogTracerWidowmakerMercyOrisaRoadhogZenyattaJunkrat
Junkertown	Defense	 NYE	 HOU	2:11	12	2	1	1	1	B	BastionTracerRoadhog
Junkertown	Defense	 NYE	 HOU	0:33	52	3	7	0	1	R	WidowmakerBastionMercyBastionOrisaWidowmakerWidowmakerZenyattaRoadhogJunkrat
Temple of Anubis	Attack	 NYE	 HOU	5:45	27	5	0	3	2	B	JunkratWinstonRoadhogZenyattaD.Va
Temple of Anubis	Attack	 NYE	 HOU	4:36	4	0	2	0	0	R	TracerWinston
Temple of Anubis	Attack	 NYE	 HOU	5:18	22	3	2	3	3	B	JunkratGenjiD.VaD.VaRoadhog
Temple of Anubis	Attack	 NYE	 HOU	4:06	10	0	1	0	1	R	Mercy
Temple of Anubis	Attack	 NYE	 HOU	3:31	8	0	2	0	0	R	TracerWinston
Temple of Anubis	Attack	 NYE	 HOU	2:57	13	0	2	0	2	R	WinstonMercy
Temple of Anubis	Attack	 NYE	 HOU	1:43	24	2	3	4	3	R	GenjiJunkratJunkratGenjiWinston
Temple of Anubis	Attack	 NYE	 HOU	0:42	17	7	1	0	0	B	JunkratSoldier: 76WinstonWidowmakerOrisaD.VaJunkratMercy
Temple of Anubis	Attack	 NYE	 HOU	1:20	0	0	1	0	0	R	Tracer
Temple of Anubis	Defense	 NYE	 HOU	6:54	62	7	9	3	2	R	ZenyattaZenyattaGenjiWinstonD.VaMercyZenyattaTracerReaperGenjiMercyMeiPharahD.VaSoldier: 76Winston
Temple of Anubis	Defense	 NYE	 HOU	6:32	7	1	2	1	2	B	ZenyattaGenjiD.Va
Temple of Anubis	Defense	 NYE	 HOU	5:42	15	5	2	1	1	B	ZenyattaMercyWinstonRoadhogZenyattaD.VaTracer
Temple of Anubis	Defense	 NYE	 HOU	4:39	21	5	0	0	0	B	PharahMercyZenyattaReaperD.Va
Temple of Anubis	Defense	 NYE	 HOU	3:02	10	2	2	0	0	B	MercyD.VaJunkratZenyatta
Temple of Anubis	Defense	 NYE	 HOU	3:35	40	5	2	3	4	B	JunkratMercyZenyattaZenyattaRoadhogJunkratWidowmaker
Temple of Anubis	Defense	 NYE	 HOU	1:37	50	5	8	5	4	R	MercyRoadhogWidowmakerRoadhogZenyattaJunkratZenyattaWidowmakerRoadhogMercyD.VaOrisaJunkrat
Temple of Anubis	Defense	 NYE	 HOU	0:44	27	7	1	1	0	R	JunkratRoadhogJunkratZenyattaWidowmakerRoadhogD.VaMercy
Ilios	Well	 NYE	 HOU	3:49	43	8	4	5	4	R	ZenyattaMccreeTracerZenyattaWinstonD.VaTracerZenyattaMccreeD.VaMercyWinston
Ilios	Well	 NYE	 HOU	3:14	9	0	3	0	1	R	MccreeTracerMercy
Ilios	Well	 NYE	 HOU	2:19	28	1	5	1	2	R	ZenyattaMccreeZenyattaWinstonD.VaTracer
Ilios	Well	 NYE	 HOU	1:22	36	5	3	3	1	B	MccreeMercyD.VaMccreeTracerMccreeZenyattaD.Va
Ilios	Well	 NYE	 HOU	0:36	20	6	3	0	0	R	ZenyattaWinstonWinstonMccreeTracerMercyTracerD.VaZenyatta
Ilios	Ruins	 NYE	 HOU	2:56	35	7	1	2	2	B	WidowmakerTracerD.VaWidowmakerWidowmakerTracerMercyWinston
Ilios	Ruins	 NYE	 HOU	1:55	34	1	4	2	2	B	ZenyattaD.VaZenyattaWinstonTracer
Ilios	Ruins	 NYE	 HOU	1:05	20	3	1	2	1	R	WidowmakerD.VaZenyattaWinston
Ilios	Ruins	 NYE	 HOU	0:54	0	0	1	0	0	R	Widowmaker
Ilios	Ruins	 NYE	 HOU	0:18	20	6	1	0	0	R	WidowmakerWidowmakerMercyWinstonZenyattaD.VaTracer
Numbani	Attack	 NYE	 HOU	4:00	21	4	1	3	2	B	TracerSoldier: 76MercyWinstonWinston
Numbani	Attack	 NYE	 HOU	3:11	28	3	5	1	2	R	WinstonD.VaMercySoldier: 76ZenyattaZenyattaMercySoldier: 76
Numbani	Attack	 NYE	 HOU	2:40	5	1	3	1	0	R	ZenyattaSoldier: 76PharahWinston
Numbani	Attack	 NYE	 HOU	2:20	5	3	2	2	2	R	MercyTracerD.VaMccreeWinston
Numbani	Attack	 NYE	 HOU	0:45	15	4	0	0	0	B	D.VaMercyPharahAna
Numbani	Attack	 NYE	 HOU	1:38	8	6	0	0	0	B	Soldier: 76MercyTracerWinstonZenyattaD.Va
Numbani	Attack	 NYE	 HOU	0:22	0	1	0	0	0	B	Ana
Numbani	Defense	 NYE	 HOU	0:14	0	1	0	0	0	B	Soldier: 76
Numbani	Defense	 NYE	 HOU	0:31	17	0	6	0	0	R	MccreeZenyattaJunkratMercyWinstonD.Va
Numbani	Defense	 NYE	 HOU	1:33	11	0	2	0	1	R	WinstonD.Va
Numbani	Defense	 NYE	 HOU	2:10	26	7	1	3	4	B	PharahTracerMercySoldier: 76D.VaPharahAnaWinston
